Client,Industry,Color,Address,longitude,latitude,state,revenue
Cloud 9 - Lilburn,Smoke Shop,Purple,"4757 Stone Mountain Hwy Ste 1000, Lilburn, GA 30047",-84.1400,33.8900,Georgia,1800
Cloud 9 - Peachtree City,Smoke Shop,Purple,"2100 Highway 54 Ste 103, Peachtree City, GA 30269",-84.5800,33.3900,Georgia,1800
Cloud 9 - Rome,Smoke Shop,Purple,"331 Broad St, Rome, GA 30161",-85.1725586,34.2541462,Georgia,1800
Cloud 9 - Morrow,Smoke Shop,Purple,"6735 Jonesboro Rd Ste G, Morrow, GA 30260",-84.3400,33.5800,Georgia,1800
Cloud 9 - Flowery Branch,Smoke Shop,Purple,"3904 Winder Hwy Ste H, Flowery Branch, GA 30542",-83.9200,34.1800,Georgia,1800
Cloud 9 - Sandy Springs Roswell Rd,Smoke Shop,Purple,"6518 Roswell Rd, Sandy Springs, GA 30328",-84.3801344,33.9331477,Georgia,1800
Cloud 9 - Cobb Pkwy Kennesaw,Smoke Shop,Purple,"Cobb Pkwy NW, Kennesaw, GA 30152",-84.6291206,34.0234952,Georgia,1800
Cloud 9 - McDonough,Smoke Shop,Purple,"2085 Jonesboro Rd, Mcdonough, GA 30253",-84.1574846,33.4483167,Georgia,1800
Cloud 9 - Athens,Smoke Shop,Purple,"378 East Broad Street, Athens, GA 30601",-83.3736883,33.9578605,Georgia,1800
Cloud 9 - Dallas,Smoke Shop,Purple,"8651 Hiram Acworth Hwy, Dallas, GA 30157",-84.8400,33.9200,Georgia,1800
Cloud 9 - Smyrna,Smoke Shop,Purple,"2361 S Cobb Dr, Smyrna, GA 30080",-84.5391299,33.8955903,Georgia,1800
Cloud 9 - Sandy Springs 8610,Smoke Shop,Purple,"8610 Roswell Rd Ste 120, Atlanta, GA 30350",-84.3600,33.9800,Georgia,1800
Cloud 9 - Windy Hill Marietta,Smoke Shop,Purple,"2468 Windy Hill Rd SE, Marietta, GA 30067",-84.4865724,33.9032121,Georgia,1800
Cloud 9 - North Ave Atlanta,Smoke Shop,Purple,"155 North Ave NE, Atlanta, GA 30313",-84.382475,33.7709209,Georgia,1800
Cloud 9 - Riverstone Canton,Smoke Shop,Purple,"180 Riverstone Pkwy, Canton, GA 30114",-84.4903818,34.2439621,Georgia,1800
Cloud 9 - LaGrange,Smoke Shop,Purple,"LaGrange, GA",-85.0313269,33.039291,Georgia,1800
Cloud 9 - Buford,Smoke Shop,Purple,"Buford, GA",-84.0043513,34.1206564,Georgia,1800
Cloud 9 - Cumming,Smoke Shop,Purple,"Cumming, GA",-84.1401926,34.2073196,Georgia,1800
